# LEFT channel histogram (bin size: 16)
# Value	Count
-32768	4
-32720	1
-32704	1
-32672	1
-32656	1
-32608	2
-32592	3
-32576	2
-32560	2
-32528	1
-32512	3
-32496	2
-32480	1
-32464	3
-32448	1
-32432	3
-32416	1
-32400	2
-32384	3
-32368	2
-32352	3
-32336	3
-32320	2
-32304	2
-32288	3
-32272	3
-32256	4
-32240	4
-32224	4
-32208	4
-32192	3
-32176	7
-32160	2
-32144	6
-32128	2
-32096	2
-32080	4
-32064	5
-32048	2
-32032	3
-32016	4
-32000	3
-31984	2
-31968	6
-31952	1
-31936	3
-31920	2
-31904	1
-31888	2
-31872	4
-31856	4
-31840	3
-31824	3
-31808	2
-31792	4
-31776	3
-31744	1
-31728	2
-31712	4
-31696	1
-31680	3
-31664	5
-31648	5
-31632	5
-31600	3
-31584	3
-31568	2
-31552	2
-31536	1
-31520	2
-31504	3
-31488	6
-31456	3
-31440	5
-31424	2
-31408	5
-31392	5
-31376	4
-31360	3
-31344	4
-31328	2
-31312	2
-31296	5
-31280	2
-31232	4
-31216	1
-31200	1
-31184	1
-31168	2
-31152	8
-31136	3
-31120	3
-31104	4
-31088	4
-31072	6
-31056	2
-31040	3
-31024	1
-31008	2
-30992	1
-30976	1
-30960	4
-30944	5
-30928	4
-30912	3
-30880	3
-30864	4
-30832	3
-30816	3
-30800	4
-30768	3
-30752	3
-30736	3
-30720	5
-30688	4
-30672	1
-30656	1
-30640	3
-30624	3
-30608	6
-30592	3
-30560	3
-30544	2
-30528	2
-30512	5
-30496	7
-30480	2
-30464	3
-30448	3
-30432	2
-30416	6
-30400	2
-30384	1
-30368	1
-30352	7
-30336	4
-30320	4
-30304	3
-30288	3
-30272	1
-30256	3
-30240	6
-30224	6
-30208	7
-30192	4
-30176	7
-30160	3
-30144	4
-30128	3
-30096	4
-30080	4
-30064	8
-30048	1
-30032	2
-30016	2
-30000	2
-29984	6
-29968	2
-29952	5
-29936	2
-29920	2
-29904	7
-29888	5
-29872	3
-29856	1
-29840	4
-29824	2
-29808	2
-29792	3
-29776	7
-29760	5
-29744	3
-29728	5
-29712	7
-29696	2
-29680	8
-29664	11
-29648	4
-29632	5
-29616	3
-29600	5
-29584	1
-29568	1
-29552	3
-29536	4
-29520	2
-29488	2
-29472	6
-29456	7
-29440	2
-29424	2
-29408	2
-29392	2
-29376	7
-29360	1
-29344	1
-29328	9
-29312	1
-29296	2
-29280	11
-29264	6
-29248	3
-29232	6
-29216	6
-29200	2
-29184	3
-29168	1
-29152	3
-29136	7
-29120	6
-29104	3
-29088	3
-29072	6
-29056	6
-29040	1
-29024	6
-29008	8
-28992	7
-28976	2
-28960	1
-28944	4
-28928	3
-28912	3
-28896	4
-28880	4
-28864	1
-28848	3
-28832	7
-28816	4
-28800	4
-28784	8
-28768	6
-28752	2
-28736	5
-28720	2
-28704	3
-28688	4
-28672	4
-28656	4
-28640	2
-28624	2
-28608	6
-28592	4
-28576	1
-28560	4
-28544	5
-28528	2
-28512	3
-28496	4
-28480	6
-28464	3
-28448	2
-28432	6
-28416	3
-28400	2
-28384	4
-28368	2
-28352	7
-28336	4
-28320	7
-28304	4
-28288	7
-28272	4
-28256	5
-28240	3
-28224	4
-28208	2
-28192	3
-28176	4
-28160	6
-28144	4
-28128	3
-28112	5
-28096	3
-28080	6
-28064	5
-28048	3
-28032	7
-28016	3
-28000	2
-27984	5
-27968	4
-27952	5
-27936	2
-27920	5
-27904	7
-27888	7
-27872	5
-27856	6
-27840	4
-27824	3
-27808	5
-27792	4
-27776	9
-27760	3
-27744	4
-27728	2
-27712	4
-27696	10
-27680	2
-27664	2
-27648	5
-27632	5
-27616	7
-27600	5
-27584	6
-27568	6
-27552	8
-27536	7
-27520	5
-27504	5
-27488	4
-27472	5
-27456	3
-27440	9
-27424	6
-27408	7
-27392	3
-27376	6
-27360	5
-27344	5
-27328	6
-27312	5
-27296	6
-27280	3
-27264	4
-27248	7
-27232	4
-27216	3
-27200	6
-27184	5
-27168	7
-27152	3
-27136	1
-27120	4
-27104	2
-27088	4
-27072	5
-27056	5
-27040	4
-27024	3
-27008	5
-26992	3
-26976	7
-26960	4
-26944	3
-26928	5
-26912	7
-26896	3
-26880	4
-26864	4
-26848	9
-26832	6
-26816	6
-26800	8
-26784	6
-26768	4
-26752	11
-26736	6
-26720	7
-26704	7
-26688	7
-26672	5
-26656	7
-26640	5
-26624	5
-26608	7
-26592	6
-26576	6
-26560	8
-26544	3
-26528	4
-26512	7
-26496	6
-26480	5
-26464	3
-26448	8
-26432	5
-26416	6
-26400	3
-26384	2
-26368	8
-26352	8
-26336	5
-26320	5
-26304	2
-26288	5
-26272	3
-26256	5
-26240	13
-26224	6
-26208	5
-26192	6
-26176	9
-26160	8
-26144	7
-26128	5
-26112	8
