# MID channel histogram ((L+R)/2) (bin size: 16)
# Value	Count
-32672	2
-32496	1
-32432	2
-32416	1
-32368	1
-32352	1
-32336	1
-32304	2
-32272	1
-32256	1
-32240	3
-32208	4
-32192	1
-32176	1
-32160	2
-32144	4
-32032	2
-32000	1
-31984	1
-31968	2
-31952	1
-31936	1
-31920	2
-31904	1
-31888	2
-31872	2
-31856	1
-31840	1
-31808	3
-31760	1
-31728	2
-31680	1
-31664	1
-31632	1
-31600	2
-31568	1
-31552	2
-31520	1
-31504	2
-31488	2
-31472	1
-31456	2
-31440	1
-31424	1
-31376	1
-31344	2
-31328	1
-31312	6
-31280	3
-31264	2
-31248	2
-31232	4
-31216	1
-31200	3
-31184	1
-31168	4
-31152	1
-31136	1
-31120	1
-31104	1
-31088	2
-31072	1
-31056	4
-31040	1
-31024	1
-30976	1
-30944	1
-30880	1
-30864	2
-30832	3
-30800	3
-30784	2
-30768	1
-30752	1
-30736	3
-30656	1
-30624	3
-30608	2
-30592	1
-30544	1
-30528	2
-30512	2
-30496	1
-30480	1
-30464	2
-30432	2
-30416	1
-30384	1
-30368	7
-30352	4
-30336	1
-30320	2
-30304	1
-30256	2
-30240	2
-30224	3
-30208	4
-30192	3
-30176	5
-30160	3
-30128	2
-30112	2
-30096	4
-30080	2
-30064	4
-30048	2
-30016	4
-30000	2
-29984	4
-29968	6
-29952	1
-29936	3
-29920	1
-29904	1
-29888	4
-29872	3
-29840	1
-29824	4
-29808	5
-29792	6
-29776	3
-29760	3
-29728	6
-29696	5
-29680	1
-29664	5
-29648	1
-29632	4
-29616	1
-29600	1
-29584	1
-29568	4
-29552	2
-29536	3
-29520	2
-29504	2
-29488	3
-29472	5
-29440	2
-29424	5
-29408	5
-29392	4
-29376	4
-29360	4
-29344	4
-29312	4
-29296	1
-29264	2
-29248	4
-29232	2
-29216	1
-29184	3
-29168	2
-29152	4
-29136	4
-29120	2
-29104	3
-29088	5
-29072	3
-29056	2
-29040	3
-29024	2
-29008	3
-28992	4
-28976	2
-28960	1
-28944	8
-28928	2
-28912	1
-28896	3
-28880	2
-28864	5
-28848	3
-28832	3
-28816	5
-28800	3
-28784	4
-28768	4
-28752	4
-28736	3
-28720	2
-28704	3
-28688	2
-28672	1
-28656	2
-28640	4
-28624	6
-28608	3
-28592	1
-28576	5
-28560	6
-28544	3
-28528	7
-28512	5
-28496	5
-28480	4
-28464	3
-28448	2
-28432	12
-28416	4
-28400	2
-28384	6
-28368	2
-28352	1
-28336	5
-28320	3
-28304	3
-28288	5
-28272	2
-28256	4
-28240	1
-28224	2
-28208	5
-28192	2
-28176	2
-28160	2
-28144	2
-28128	3
-28112	3
-28096	3
-28064	5
-28048	2
-28032	2
-28016	3
-28000	2
-27984	2
-27968	3
-27952	2
-27936	4
-27920	2
-27904	3
-27888	3
-27872	5
-27856	2
-27824	5
-27808	5
-27792	5
-27776	2
-27760	1
-27744	2
-27728	1
-27696	3
-27680	2
-27664	6
-27648	3
-27632	2
-27616	3
-27600	4
-27584	2
-27552	3
-27536	3
