# RIGHT channel histogram (bin size: 16)
# Value	Count
-32768	12
-32752	1
-32736	2
-32720	1
-32704	2
-32672	1
-32656	1
-32640	1
-32608	2
-32592	5
-32576	1
-32560	1
-32544	1
-32528	3
-32496	1
-32480	2
-32464	2
-32448	3
-32432	3
-32416	4
-32400	4
-32384	3
-32368	1
-32352	4
-32336	3
-32320	2
-32304	6
-32288	2
-32272	3
-32256	2
-32240	4
-32224	1
-32192	2
-32176	3
-32160	3
-32144	4
-32128	1
-32112	4
-32096	1
-32080	4
-32064	3
-32048	4
-32032	3
-32000	2
-31984	2
-31968	2
-31952	1
-31936	2
-31920	2
-31904	4
-31888	4
-31872	4
-31856	4
-31840	3
-31808	1
-31792	3
-31776	2
-31760	2
-31744	3
-31728	2
-31712	2
-31696	2
-31680	2
-31664	2
-31648	2
-31632	5
-31616	1
-31600	1
-31568	3
-31552	1
-31536	3
-31520	1
-31504	2
-31488	7
-31472	2
-31456	1
-31440	3
-31424	1
-31408	5
-31392	6
-31376	4
-31360	1
-31344	3
-31328	4
-31312	5
-31296	3
-31280	2
-31264	4
-31248	3
-31232	3
-31216	3
-31200	2
-31184	2
-31168	3
-31152	5
-31136	1
-31120	3
-31104	4
-31088	4
-31072	3
-31056	4
-31008	1
-30992	4
-30976	1
-30960	2
-30944	2
-30928	3
-30912	2
-30896	4
-30880	4
-30864	5
-30848	2
-30832	3
-30816	3
-30800	4
-30784	2
-30768	2
-30752	4
-30736	1
-30720	4
-30704	6
-30688	3
-30656	4
-30640	3
-30624	7
-30608	1
-30592	1
-30576	2
-30560	5
-30544	3
-30528	2
-30512	4
-30496	2
-30480	3
-30448	2
-30432	2
-30416	3
-30400	5
-30384	2
-30368	4
-30352	1
-30336	2
-30320	1
-30304	1
-30288	1
-30272	2
-30256	5
-30240	5
-30224	9
-30208	4
-30192	3
-30176	4
-30160	4
-30144	4
-30128	3
-30112	6
-30096	5
-30080	4
-30064	5
-30048	9
-30032	5
-30016	7
-30000	1
-29984	2
-29968	3
-29952	5
-29936	3
-29920	4
-29904	4
-29888	3
-29872	1
-29856	1
-29824	6
-29808	4
-29792	6
-29776	3
-29760	2
-29744	4
-29728	1
-29712	7
-29696	6
-29680	4
-29664	1
-29648	1
-29632	3
-29616	4
-29600	2
-29584	7
-29568	3
-29552	4
-29536	1
-29520	2
-29504	2
-29488	5
-29472	2
-29456	3
-29440	4
-29408	2
-29392	2
-29376	3
-29360	3
-29344	1
-29328	3
-29312	5
-29296	2
-29280	4
-29264	3
-29248	2
-29232	5
-29216	8
-29200	6
-29184	5
-29168	3
-29152	3
-29136	2
-29120	3
-29104	4
-29088	2
-29072	6
-29056	4
-29040	2
-29024	3
-29008	1
-28992	4
-28976	2
-28960	4
-28944	4
-28928	3
-28912	3
-28896	6
-28880	7
-28864	3
-28848	5
-28832	5
-28816	4
-28800	4
-28784	2
-28768	2
-28752	4
-28736	4
-28720	6
-28704	5
-28688	2
-28672	5
-28656	8
-28640	6
-28624	5
-28608	6
-28592	11
-28576	5
-28560	3
-28544	4
-28528	5
-28512	5
-28496	3
-28480	7
-28464	7
-28448	4
-28432	6
-28416	2
-28400	6
-28384	6
-28368	6
-28352	4
-28336	4
-28320	3
-28304	5
-28288	7
-28272	2
-28256	6
-28240	5
-28224	5
-28208	3
-28192	2
-28176	3
-28160	6
-28144	5
-28128	1
-28112	1
-28096	7
-28080	2
-28064	5
-28048	4
-28032	6
-28016	2
-28000	6
-27984	5
-27968	6
-27952	7
-27936	3
-27920	4
-27904	4
-27888	3
-27872	4
-27856	1
-27840	4
-27824	4
-27808	2
-27792	4
-27776	2
-27760	4
-27744	3
-27728	7
-27712	4
-27696	6
-27680	4
-27664	4
-27648	3
-27632	6
-27616	6
-27600	4
-27584	3
-27568	5
-27552	8
-27536	3
-27520	6
-27504	4
-27488	7
-27472	4
-27456	5
-27440	9
-27424	2
-27408	5
-27392	5
-27376	6
-27360	6
-27344	3
-27328	6
-27312	7
-27296	7
-27280	3
-27264	6
-27248	11
-27232	6
-27216	9
-27200	3
-27184	7
-27168	5
-27152	8
-27136	3
-27120	2
-27104	4
-27088	6
-27072	8
-27056	6
-27040	4
-27024	2
-27008	3
-26992	9
-26976	8
-26960	7
-26944	7
-26928	5
-26912	5
-26896	11
-26880	4
-26864	6
-26848	10
-26832	7
-26816	7
-26800	6
-26784	7
-26768	3
-26752	3
-26736	8
-26720	5
-26704	9
-26688	5
-26672	3
-26656	7
-26640	4
-26624	8
-26608	3
-26592	2
-26576	6
-26560	6
-26544	11
-26512	2
-26496	4
-26480	4
-26464	4
-26448	10
-26432	6
-26416	3
-26400	7
-26384	6
-26368	7
-26352	5
-26336	7
-26320	6
-26304	7
-26288	10
-26272	6
-26256	9
-26240	3
-26224	5
-26208	8
-26192	5
-26176	6
-26160	6
-26144	8
-26128	5
-26112	3
-26096	3
-26080	4
-26064	5
-26048	7
-26032	7
-26016	3
-26000	2
-25984	13
-25968	8
-25952	4
-25936	9
-25920	4
-25904	6
-25888	9
-25872	7
-25856	6
-25840	10
-25824	9
-25808	6
-25792	8
-25776	11
-25760	6
-25744	2
-25728	12
-25712	6
-25696	12
-25680	7
-25664	13
-25648	13
-25632	8
-25616	9
-25600	4
-25584	3
-25568	6
-25552	9
-25536	9
-25520	11
-25504	9
-25488	6
-25472	6
-25456	7
-25440	7
-25424	5
-25408	6
-25392	5
-25376	8
-25360	6
-25344	6
-25328	6
-25312	10
-25296	5
-25280	8
-25264	5
-25248	12
-25232	8
-25216	4
-25200	6
-25184	7
-25168	8
-25152	9
-25136	8
-25120	7
-25104	5
-25088	7
-25072	4
-25056	14
-25040	4
-25024	8
-25008	3
-24992	9
-24976	8
-24960	8
-24944	8
-24928	7
-24912	5
-24896	8
-24880	4
-24864	3
-24848	3
-24832	4
-24816	12
-24800	10
-24784	7
-24768	10
-24752	5
-24736	5
-24720	7
-24704	10
-24688	7
-24672	9
-24656	7
-24640	7
-24624	8
-24608	7
-24592	13
-24576	6
-24560	6
-24544	7
-24528	8
-24512	7
-24496	7
-24480	11
-24464	9
-24448	12
-24432	10
-24416	6
-24400	11
-24384	8
-24368	6
-24352	7
-24336	7
-24320	8
-24304	9
-24288	7
-24272	8
-24256	14
-24240	8
-24224	11
-24208	11
-24192	13
-24176	15
-24160	11
-24144	12
-24128	8
-24112	6
-24096	5
-24080	7
-24064	10
-24048	11
-24032	6
-24016	13
-24000	5
-23984	9
-23968	10
-23952	13
-23936	7
-23920	9
-23904	13
-23888	7
-23872	17
-23856	15
-23840	9
-23824	12
-23808	13
-23792	8
-23776	16
-23760	13
-23744	9
-23728	10
-23712	11
-23696	19
-23680	12
-23664	12
-23648	10
-23632	17
-23616	12
-23600	12
-23584	11
-23568	11
-23552	6
-23536	16
-23520	15
-23504	9
-23488	17
-23472	13
-23456	8
-23440	11
-23424	15
-23408	12
-23392	8
-23376	11
-23360	12
-23344	18
-23328	6
-23312	16
-23296	14
-23280	15
-23264	7
-23248	10
-23232	12
-23216	13
-23200	14
-23184	14
-23168	15
-23152	11
-23136	11
-23120	15
-23104	12
-23088	10
-23072	7
-23056	15
-23040	19
-23024	14
-23008	10
-22992	10
-22976	17
-22960	10
-22944	8
-22928	11
-22912	21
