# SIDE channel histogram ((L-R)/2) (bin size: 16)
# Value	Count
-16016	1
-14960	1
-14592	1
-14496	1
-14320	1
-14208	1
-14160	1
-14144	1
-14000	1
-13984	1
-13856	1
-13840	1
-13808	1
-13760	1
-13712	1
-13696	1
-13584	3
-13504	1
-13472	1
-13456	1
-13440	1
-13344	1
-13248	1
-13232	1
-13200	1
-13152	1
-13136	1
-13024	1
-12976	1
-12960	1
-12944	1
-12896	1
-12880	2
-12864	2
-12800	1
-12736	2
-12720	1
-12688	1
-12672	1
-12656	1
-12640	1
-12544	1
-12528	2
-12496	1
-12480	1
-12464	2
-12448	1
-12432	2
-12400	2
-12384	2
-12352	1
-12336	2
-12320	1
-12304	4
-12288	1
-12272	1
-12240	2
-12224	1
-12160	3
-12144	2
-12128	1
-12112	1
-12096	2
-12064	2
-12032	3
-12016	2
-11968	2
-11936	2
-11904	2
-11856	2
-11840	2
-11792	2
-11776	1
-11760	1
-11744	2
-11728	1
-11712	1
-11680	2
-11664	1
-11648	2
-11632	4
-11600	3
-11584	1
-11568	3
-11552	1
-11520	1
-11504	2
-11488	1
-11456	2
-11424	3
-11408	3
-11392	3
-11376	2
-11360	1
-11344	2
-11312	3
-11296	3
-11280	3
-11264	1
-11248	2
-11232	3
-11216	1
-11200	2
-11184	3
-11168	2
-11152	3
-11136	3
-11120	2
-11104	3
-11088	3
-11072	2
-11056	3
-11040	2
-11008	11
-10992	2
-10976	5
-10960	3
-10944	2
-10928	3
-10896	3
-10880	4
-10864	3
-10848	5
-10832	3
-10816	4
-10800	7
-10784	3
-10768	4
-10752	2
-10736	7
-10720	1
-10704	5
-10688	4
-10672	2
-10656	7
-10640	3
-10624	3
-10608	3
-10592	4
-10576	4
-10560	7
-10544	3
-10528	1
-10512	5
-10496	6
-10480	4
-10464	5
-10448	4
-10432	7
-10416	5
-10400	6
-10384	1
-10368	7
-10352	6
-10336	4
-10320	2
-10304	9
-10288	6
-10272	4
-10256	3
-10240	4
-10224	7
-10208	4
-10192	4
-10176	3
-10160	6
-10144	9
-10128	5
-10112	10
-10096	4
-10080	5
-10064	5
-10048	3
-10032	6
-10016	11
-10000	4
-9984	8
-9968	6
-9952	8
-9936	13
-9920	7
-9904	9
-9888	8
-9872	6
-9856	13
-9840	8
-9824	11
-9808	8
-9792	8
-9776	8
-9760	7
-9744	8
-9728	10
-9712	9
-9696	13
-9680	6
-9664	10
-9648	9
-9632	17
-9616	8
-9600	14
-9584	9
-9568	14
-9552	11
-9536	14
-9520	14
-9504	9
-9488	19
-9472	8
-9456	13
-9440	13
-9424	14
-9408	10
-9392	16
-9376	12
-9360	9
-9344	15
-9328	12
-9312	15
-9296	16
-9280	17
-9264	13
-9248	15
-9232	16
-9216	12
-9200	22
-9184	19
-9168	16
-9152	16
-9136	23
-9120	15
-9104	13
-9088	16
-9072	17
-9056	7
-9040	18
-9024	21
-9008	25
-8992	24
-8976	15
-8960	9
-8944	20
-8928	19
-8912	16
-8896	15
-8880	19
-8864	12
-8848	18
-8832	27
-8816	23
-8800	24
-8784	21
-8768	17
-8752	22
-8736	25
-8720	19
-8704	25
-8688	30
-8672	30
-8656	19
-8640	31
-8624	16
-8608	20
-8592	20
-8576	22
-8560	22
-8544	21
-8528	38
-8512	27
-8496	25
-8480	36
-8464	28
-8448	24
-8432	27
-8416	24
-8400	22
-8384	25
-8368	24
-8352	29
-8336	29
-8320	34
-8304	34
-8288	26
-8272	27
-8256	27
-8240	29
-8224	35
-8208	30
-8192	32
-8176	36
-8160	43
-8144	35
-8128	33
-8112	44
-8096	42
-8080	32
-8064	33
-8048	39
-8032	50
-8016	38
-8000	40
-7984	41
-7968	40
-7952	38
-7936	37
-7920	37
-7904	41
-7888	34
-7872	50
-7856	55
-7840	37
-7824	52
-7808	48
-7792	42
-7776	42
-7760	33
-7744	45
-7728	45
-7712	39
-7696	42
-7680	53
-7664	41
-7648	55
-7632	63
-7616	50
-7600	54
-7584	48
-7568	42
-7552	54
-7536	70
-7520	52
-7504	48
-7488	46
-7472	55
-7456	64
-7440	67
-7424	71
-7408	67
-7392	70
-7376	72
-7360	58
-7344	61
-7328	59
-7312	74
-7296	83
-7280	73
-7264	66
-7248	54
-7232	79
-7216	52
-7200	81
-7184	77
-7168	76
-7152	88
-7136	71
-7120	59
-7104	82
-7088	81
-7072	75
-7056	92
-7040	81
-7024	80
-7008	94
-6992	100
-6976	92
-6960	95
-6944	77
-6928	82
-6912	95
-6896	92
-6880	91
-6864	78
-6848	83
-6832	91
-6816	90
-6800	100
-6784	101
-6768	78
-6752	109
-6736	104
-6720	111
-6704	90
-6688	109
-6672	120
-6656	127
-6640	123
-6624	104
-6608	126
-6592	91
-6576	109
-6560	104
-6544	132
-6528	105
-6512	103
-6496	115
-6480	102
-6464	114
-6448	127
-6432	139
-6416	114
-6400	117
-6384	130
-6368	130
-6352	131
-6336	106
-6320	131
-6304	139
-6288	140
-6272	120
-6256	133
-6240	152
-6224	130
-6208	119
-6192	165
-6176	133
-6160	149
-6144	143
-6128	131
-6112	161
-6096	159
-6080	165
-6064	150
-6048	165
-6032	146
-6016	153
-6000	152
-5984	157
-5968	156
-5952	186
-5936	164
-5920	166
-5904	160
-5888	189
-5872	175
-5856	169
-5840	202
-5824	194
-5808	182
-5792	173
-5776	190
-5760	206
-5744	173
-5728	198
-5712	186
-5696	189
-5680	206
-5664	188
-5648	208
-5632	202
-5616	236
-5600	202
-5584	191
-5568	201
-5552	229
-5536	200
-5520	231
-5504	225
-5488	223
-5472	188
-5456	211
-5440	221
-5424	238
-5408	248
-5392	238
-5376	257
-5360	219
-5344	255
-5328	239
-5312	233
-5296	243
-5280	256
-5264	250
-5248	257
-5232	287
-5216	275
-5200	278
-5184	292
-5168	282
-5152	237
-5136	277
-5120	288
-5104	282
-5088	298
-5072	296
-5056	280
-5040	297
-5024	269
-5008	264
-4992	294
-4976	268
-4960	311
-4944	302
-4928	319
-4912	329
-4896	293
-4880	300
-4864	294
-4848	328
-4832	296
-4816	309
-4800	299
-4784	333
-4768	327
-4752	331
-4736	310
-4720	329
-4704	375
-4688	340
-4672	356
-4656	359
-4640	340
-4624	363
-4608	362
-4592	356
-4576	360
-4560	348
-4544	361
-4528	408
-4512	393
-4496	374
-4480	342
-4464	390
-4448	365
-4432	387
-4416	390
-4400	373
-4384	409
-4368	367
-4352	353
-4336	393
-4320	405
-4304	411
-4288	409
-4272	411
-4256	402
-4240	423
-4224	416
-4208	394
-4192	420
-4176	396
-4160	431
-4144	428
-4128	431
-4112	429
-4096	436
-4080	427
-4064	438
-4048	468
-4032	467
-4016	442
-4000	472
-3984	433
-3968	455
-3952	499
-3936	468
-3920	487
-3904	481
-3888	484
-3872	470
-3856	482
-3840	460
-3824	493
-3808	504
-3792	516
-3776	497
-3760	510
-3744	534
-3728	504
-3712	524
-3696	534
-3680	582
-3664	530
-3648	520
-3632	537
-3616	507
-3600	516
-3584	555
-3568	556
-3552	543
-3536	575
-3520	615
-3504	578
-3488	533
-3472	601
-3456	587
-3440	577
-3424	530
-3408	554
-3392	608
-3376	580
-3360	596
-3344	579
-3328	593
-3312	592
-3296	538
-3280	625
-3264	604
-3248	577
-3232	565
-3216	621
-3200	666
-3184	660
-3168	599
-3152	654
-3136	635
-3120	606
-3104	680
-3088	634
-3072	675
-3056	622
-3040	664
-3024	690
-3008	695
-2992	644
-2976	683
-2960	657
-2944	688
-2928	693
-2912	673
-2896	688
-2880	639
-2864	706
-2848	694
-2832	707
-2816	742
-2800	704
-2784	711
-2768	762
-2752	720
-2736	794
-2720	751
-2704	745
-2688	719
-2672	705
-2656	737
-2640	717
-2624	757
-2608	766
-2592	681
-2576	748
-2560	759
-2544	801
-2528	784
-2512	801
-2496	774
-2480	787
-2464	801
-2448	739
-2432	819
-2416	785
-2400	815
-2384	791
-2368	806
-2352	804
-2336	819
-2320	844
-2304	849
-2288	848
-2272	879
-2256	825
-2240	852
-2224	820
-2208	844
-2192	835
-2176	820
-2160	837
-2144	846
-2128	850
-2112	861
-2096	880
-2080	825
-2064	888
-2048	836
-2032	917
-2016	927
-2000	864
-1984	857
-1968	894
-1952	856
-1936	891
-1920	937
-1904	872
-1888	895
-1872	886
-1856	926
-1840	904
-1824	871
-1808	922
-1792	947
-1776	927
-1760	922
-1744	932
-1728	898
-1712	928
-1696	930
-1680	891
-1664	926
-1648	896
-1632	954
-1616	963
-1600	908
-1584	909
-1568	963
-1552	947
-1536	961
-1520	967
-1504	970
-1488	945
-1472	977
-1456	940
-1440	981
-1424	978
-1408	992
-1392	991
-1376	1030
-1360	939
-1344	981
-1328	1021
-1312	1011
-1296	948
-1280	998
-1264	1006
-1248	964
-1232	954
-1216	1030
-1200	977
-1184	1028
-1168	952
-1152	1027
-1136	1054
-1120	1032
-1104	1022
-1088	1073
-1072	1030
-1056	1011
-1040	1067
-1024	1035
-1008	1106
-992	1072
-976	1039
-960	1068
-944	1042
-928	1059
-912	1037
-896	1044
-880	1052
-864	995
-848	1038
-832	1067
-816	1051
-800	1076
-784	1096
-768	1040
-752	1059
-736	1102
-720	1088
-704	1088
-688	1027
-672	1083
-656	1144
-640	1089
-624	1097
-608	1068
-592	1055
-576	1076
-560	1092
-544	1082
-528	1060
-512	1100
-496	1049
-480	1122
-464	1071
-448	1096
-432	1034
-416	1073
-400	1129
-384	1016
-368	1107
-352	1092
-336	1135
-320	1065
-304	1098
-288	1095
-272	1150
-256	1087
-240	1043
-224	1169
-208	1158
-192	1081
-176	1079
-160	1084
-144	1075
-128	1102
-112	1048
-96	1132
-80	1109
-64	1126
-48	1032
-32	1133
-16	1143
0	2117
16	1144
32	1125
48	1095
64	1128
80	1103
96	1169
112	1106
128	1153
144	1042
160	1113
176	1123
192	1082
208	1142
224	1096
240	1133
256	1082
272	1174
288	1104
304	1124
320	1133
336	1126
352	1139
368	1142
384	1126
400	1110
416	1097
432	1137
448	1093
464	1100
480	1109
496	1066
512	1058
528	1081
544	1136
560	1108
576	1064
592	1086
608	1080
624	1076
640	1077
656	1102
672	1103
688	1115
704	1099
720	1134
736	986
752	1064
768	1041
784	1047
800	1095
816	1081
832	1150
848	1069
864	1073
880	1054
896	1013
912	1053
928	1046
944	1075
960	1075
976	1047
992	1081
1008	1052
1024	1056
1040	982
1056	1068
1072	1055
1088	1027
1104	1015
1120	1044
1136	1003
1152	1057
1168	967
1184	1055
1200	1026
1216	1022
1232	1081
1248	1006
1264	1024
1280	1039
1296	992
1312	965
1328	988
1344	975
1360	1017
1376	1006
1392	1013
1408	981
1424	972
1440	975
1456	1026
1472	1049
1488	925
1504	995
1520	952
1536	979
1552	988
1568	952
1584	981
1600	992
1616	978
1632	985
1648	931
1664	963
1680	971
1696	960
1712	957
1728	952
1744	946
1760	902
1776	955
1792	951
1808	895
1824	966
1840	953
1856	863
1872	949
1888	901
1904	925
1920	882
1936	879
1952	877
1968	903
1984	912
2000	861
2016	902
2032	916
2048	880
2064	890
2080	892
2096	908
2112	857
2128	888
2144	863
2160	859
2176	859
2192	919
2208	863
2224	836
2240	891
2256	817
2272	831
2288	883
2304	841
2320	819
2336	907
2352	856
2368	816
2384	812
2400	808
2416	803
2432	817
2448	796
2464	837
2480	803
2496	824
2512	821
2528	800
2544	824
2560	831
2576	776
2592	799
2608	744
2624	780
2640	768
2656	789
2672	730
2688	761
2704	756
2720	741
2736	766
2752	792
2768	738
2784	719
2800	769
2816	689
2832	702
2848	730
2864	697
2880	772
2896	747
2912	711
2928	712
2944	670
2960	713
2976	710
2992	731
3008	664
3024	687
3040	682
3056	664
3072	685
3088	660
3104	647
3120	671
3136	639
3152	617
3168	658
3184	635
3200	691
3216	639
3232	662
3248	649
3264	683
3280	638
3296	691
3312	612
3328	640
3344	606
3360	599
3376	594
3392	601
3408	593
3424	573
3440	586
3456	625
3472	601
3488	595
3504	588
3520	563
3536	581
3552	562
3568	573
3584	535
3600	546
3616	597
3632	554
3648	535
3664	548
3680	564
3696	515
3712	529
3728	539
3744	516
3760	534
3776	538
3792	494
3808	488
3824	490
3840	495
3856	504
3872	508
3888	523
3904	493
3920	511
3936	479
3952	520
3968	480
3984	465
4000	482
4016	447
4032	487
4048	470
4064	456
4080	426
4096	474
4112	404
4128	454
4144	440
4160	418
4176	430
4192	410
4208	419
4224	407
4240	425
4256	420
4272	416
4288	392
4304	445
4320	387
4336	442
4352	421
4368	392
4384	373
4400	382
4416	393
4432	412
4448	356
4464	388
4480	384
4496	366
4512	373
4528	373
4544	348
4560	322
4576	380
4592	393
4608	369
4624	355
4640	313
4656	353
4672	318
4688	336
4704	355
4720	332
4736	293
4752	329
4768	320
4784	326
4800	322
4816	304
4832	296
4848	300
4864	289
4880	311
4896	291
4912	286
4928	266
4944	301
4960	301
4976	272
4992	247
5008	286
5024	282
5040	262
5056	267
5072	283
5088	267
5104	264
5120	265
5136	237
5152	256
5168	242
5184	263
5200	229
5216	246
5232	259
5248	251
5264	260
5280	270
5296	225
5312	233
5328	210
5344	244
5360	250
5376	205
5392	207
5408	219
5424	209
5440	217
5456	234
5472	233
5488	219
5504	226
5520	199
5536	198
5552	204
5568	219
5584	214
5600	168
5616	167
5632	202
5648	218
5664	198
5680	199
5696	168
5712	208
5728	185
5744	182
5760	170
5776	192
5792	158
5808	143
5824	167
5840	169
5856	162
5872	171
5888	176
5904	178
5920	180
5936	151
5952	172
5968	151
5984	161
6000	155
6016	167
6032	138
6048	139
6064	156
6080	156
6096	132
6112	166
6128	133
6144	143
6160	143
6176	127
6192	128
6208	131
6224	129
6240	121
6256	144
6272	126
6288	114
6304	139
6320	114
6336	121
6352	107
6368	118
6384	124
6400	111
6416	112
6432	122
6448	99
6464	110
6480	94
6496	94
6512	113
6528	108
6544	104
6560	104
6576	102
6592	102
6608	105
6624	110
6640	94
6656	100
6672	97
6688	90
6704	105
6720	98
6736	81
6752	84
6768	99
6784	75
6800	89
6816	101
6832	78
6848	87
6864	84
6880	69
6896	78
6912	92
6928	89
6944	87
6960	97
6976	69
6992	83
7008	90
7024	97
7040	72
7056	75
7072	91
7088	63
7104	67
7120	73
7136	69
7152	63
7168	65
7184	73
7200	66
7216	67
7232	55
7248	82
7264	64
7280	67
7296	72
7312	55
7328	55
7344	71
7360	70
7376	63
7392	57
7408	53
7424	61
7440	59
7456	57
7472	68
7488	61
7504	46
7520	51
7536	52
7552	50
7568	55
7584	32
7600	43
7616	60
7632	43
7648	56
7664	45
7680	43
7696	41
7712	36
7728	42
7744	50
7760	50
7776	44
7792	41
7808	50
7824	38
7840	43
7856	40
7872	43
7888	39
7904	41
7920	41
7936	47
7952	44
7968	32
7984	34
8000	33
8016	38
8032	41
8048	32
8064	26
8080	30
8096	31
